season;time;home;numpen;goaldiff;pendiff;ppgoal;capacity;month;timebetpens;inRow;gf1;ga1;pf1;pa1;gf2;ga2;pf2;pa2
2014-2015;18.14;0;3;-1;2;0;0;6;6.06;2;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;37.29;1;4;-5;1;0;0;6;19.15;-1;2.72;2.45;4.28;3.80;2.72;2.45;4.28;3.80
2014-2015;49.59;1;5;-5;2;0;0;6;12.3;1;2.50;2.68;4.30;4.47;2.72;2.45;4.28;3.80
2014-2015;50.5;1;6;-6;3;1;0;6;0.91;2;2.50;2.68;4.30;4.47;2.72;2.45;4.28;3.80
2014-2015;56.22;0;7;-6;4;0;0;6;5.72;3;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;56.22;1;8;-6;3;0;0;6;0;-1;2.72;2.45;4.28;3.80;2.72;2.45;4.28;3.80
2014-2015;56.22;0;9;-6;4;0;0;6;0;1;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;7.53;1;1;-1;0;0;1;6;;0;;;;;2.78;2.10;3.58;3.73
2014-2015;18.36;0;2;-4;1;0;1;6;10.83;1;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;21.46;0;3;-4;0;0;1;6;3.1;-1;2.78;2.10;3.58;3.73;2.90;2.52;3.90;4.40
2014-2015;25.52;0;4;-4;-1;0;1;6;4.06;-2;2.78;2.10;3.58;3.73;2.90;2.52;3.90;4.40
2014-2015;27.03;0;5;-4;-2;0;1;6;1.51;-3;2.78;2.10;3.58;3.73;2.90;2.52;3.90;4.40
2014-2015;28.56;0;6;-4;-3;0;1;6;1.53;-4;2.78;2.10;3.58;3.73;2.90;2.52;3.90;4.40
2014-2015;38.04;0;7;-3;-4;1;1;6;9.48;-5;2.78;2.10;3.58;3.73;2.90;2.52;3.90;4.40
2014-2015;38.44;0;8;-3;-5;0;1;6;0.4;-6;2.78;2.10;3.58;3.73;2.90;2.52;3.90;4.40
2014-2015;42.19;1;9;-2;-6;1;1;6;3.75;-7;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;50;0;10;-2;-5;0;1;6;7.81;1;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;3.1;0;1;0;0;0;0;6;;0;;;;;2.52;2.43;4.45;4.43
2014-2015;17.09;0;2;0;-1;0;0;6;13.99;-1;2.23;1.92;3.72;3.73;2.52;2.43;4.45;4.43
2014-2015;20.44;1;3;0;-2;0;0;6;3.35;-2;2.23;1.92;3.72;3.73;2.23;1.92;3.72;3.73
2014-2015;28.42;0;4;0;-1;0;0;6;7.98;1;2.52;2.43;4.45;4.43;2.52;2.43;4.45;4.43
2014-2015;34.42;1;5;0;-2;0;0;6;6;-1;2.23;1.92;3.72;3.73;2.23;1.92;3.72;3.73
2014-2015;47.41;1;6;0;-1;0;0;6;12.99;1;2.52;2.43;4.45;4.43;2.23;1.92;3.72;3.73
2014-2015;6.27;0;1;0;0;0;0;6;;0;;;;;2.02;3.08;3.90;4.17
2014-2015;8.49;0;2;0;-1;0;0;6;2.22;-1;2.08;2.77;4.08;4.23;2.02;3.08;3.90;4.17
2014-2015;15.41;1;3;0;-2;0;0;6;6.92;-2;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
2014-2015;18.41;0;4;0;-1;0;0;6;3;1;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;36.53;1;7;-2;-2;0;0;6;18.12;-1;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
2014-2015;43.56;1;8;-1;-1;0;0;6;7.03;1;2.02;3.08;3.90;4.17;2.08;2.77;4.08;4.23
2014-2015;48.44;0;9;-1;0;0;0;6;4.88;2;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;2.08;1;1;0;0;0;0;6;;0;;;;;2.52;2.38;3.97;3.80
2014-2015;8.55;0;2;1;1;0;0;6;6.47;1;2.03;2.87;4.25;3.93;2.03;2.87;4.25;3.93
2014-2015;16.44;1;3;2;0;0;0;6;7.89;-1;2.52;2.38;3.97;3.80;2.52;2.38;3.97;3.80
2014-2015;31.27;0;4;2;1;0;0;6;14.83;1;2.03;2.87;4.25;3.93;2.03;2.87;4.25;3.93
2014-2015;40.41;0;5;2;0;0;0;6;9.14;-1;2.52;2.38;3.97;3.80;2.03;2.87;4.25;3.93
2014-2015;56.01;1;6;3;-1;0;0;6;15.6;-2;2.52;2.38;3.97;3.80;2.52;2.38;3.97;3.80
2014-2015;5.59;1;1;-1;0;0;1;6;;0;;;;;2.78;2.10;3.58;3.73
2014-2015;22.44;0;2;-2;1;0;1;6;16.85;1;2.95;2.50;4.23;3.28;2.95;2.50;4.23;3.28
2014-2015;31.5;0;3;-2;0;0;1;6;9.06;-1;2.78;2.10;3.58;3.73;2.95;2.50;4.23;3.28
2014-2015;35.19;0;4;-1;-1;1;1;6;3.69;-2;2.78;2.10;3.58;3.73;2.95;2.50;4.23;3.28
2014-2015;35.25;1;5;-1;-2;0;1;6;0.06;-3;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;52.12;0;6;-1;-1;0;1;6;16.87;1;2.95;2.50;4.23;3.28;2.95;2.50;4.23;3.28
2014-2015;56.12;0;7;-1;-2;0;1;6;4;-1;2.78;2.10;3.58;3.73;2.95;2.50;4.23;3.28
2014-2015;59.04;1;8;0;-3;1;1;6;2.92;-2;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;1.45;0;1;0;0;0;0;6;;0;;;;;2.23;1.92;3.72;3.73
2014-2015;11.5;1;2;0;-1;0;0;6;10.05;-1;2.03;2.87;4.25;3.93;2.03;2.87;4.25;3.93
2014-2015;23.28;1;3;0;0;0;0;6;11.78;1;2.23;1.92;3.72;3.73;2.03;2.87;4.25;3.93
2014-2015;26.13;0;4;0;1;0;0;6;2.85;2;2.23;1.92;3.72;3.73;2.23;1.92;3.72;3.73
2014-2015;42.42;0;5;1;0;1;0;6;16.29;-1;2.03;2.87;4.25;3.93;2.23;1.92;3.72;3.73
2014-2015;46;1;6;1;-1;0;0;6;3.58;-2;2.03;2.87;4.25;3.93;2.03;2.87;4.25;3.93
2014-2015;54.31;1;7;1;0;0;0;6;8.31;1;2.23;1.92;3.72;3.73;2.03;2.87;4.25;3.93
2014-2015;9.26;0;1;0;0;0;0;6;;0;;;;;2.08;2.77;4.08;4.23
2014-2015;25.36;1;2;0;-1;0;0;6;16.1;-1;2.77;2.48;3.73;4.48;2.77;2.48;3.73;4.48
2014-2015;35.25;0;3;1;0;0;0;6;9.89;1;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
2014-2015;35.25;0;4;1;-1;0;0;6;0;-1;2.77;2.48;3.73;4.48;2.08;2.77;4.08;4.23
2014-2015;40;1;5;2;-2;1;0;6;4.75;-2;2.77;2.48;3.73;4.48;2.77;2.48;3.73;4.48
2014-2015;41.16;1;6;1;-1;1;0;6;1.16;1;2.08;2.77;4.08;4.23;2.77;2.48;3.73;4.48
2014-2015;44.24;1;7;1;0;0;0;6;3.08;2;2.08;2.77;4.08;4.23;2.77;2.48;3.73;4.48
2014-2015;49.27;1;8;1;1;0;0;6;5.03;3;2.08;2.77;4.08;4.23;2.77;2.48;3.73;4.48
2014-2015;52.19;1;9;1;2;0;0;6;2.92;4;2.08;2.77;4.08;4.23;2.77;2.48;3.73;4.48
2014-2015;56.08;0;10;1;3;0;0;6;3.89;5;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
2014-2015;58.25;0;11;1;2;0;0;6;2.17;-1;2.77;2.48;3.73;4.48;2.08;2.77;4.08;4.23
2014-2015;3.36;0;1;-1;0;0;0;6;;0;;;;;2.52;2.43;4.45;4.43
2014-2015;7.34;0;2;-1;-1;0;0;6;3.98;-1;2.50;2.68;4.30;4.47;2.52;2.43;4.45;4.43
2014-2015;13.28;0;3;0;-2;1;0;6;5.94;-2;2.50;2.68;4.30;4.47;2.52;2.43;4.45;4.43
2014-2015;18.24;1;4;1;-3;0;0;6;4.96;-3;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;21.17;1;5;1;-2;0;0;6;2.93;1;2.52;2.43;4.45;4.43;2.50;2.68;4.30;4.47
2014-2015;41.08;0;6;1;-1;0;0;6;19.91;2;2.52;2.43;4.45;4.43;2.52;2.43;4.45;4.43
2014-2015;44.01;1;7;1;-2;0;0;6;2.93;-1;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;47.26;0;8;1;-1;0;0;6;3.25;1;2.52;2.43;4.45;4.43;2.52;2.43;4.45;4.43
2014-2015;11.03;0;1;-1;0;0;0;6;;0;;;;;2.02;3.08;3.90;4.17
2014-2015;15.15;0;2;-1;-1;0;0;6;4.12;-1;2.38;2.75;3.55;3.83;2.02;3.08;3.90;4.17
2014-2015;18.41;1;3;-1;-2;0;0;6;3.26;-2;2.38;2.75;3.55;3.83;2.38;2.75;3.55;3.83
2014-2015;21.37;0;4;-1;-1;0;0;6;2.96;1;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;33.34;0;5;-1;-2;0;0;6;11.97;-1;2.38;2.75;3.55;3.83;2.02;3.08;3.90;4.17
2014-2015;58.18;1;6;-3;-3;0;0;6;24.84;-2;2.38;2.75;3.55;3.83;2.38;2.75;3.55;3.83
2014-2015;10.05;0;1;0;0;0;0;6;;0;;;;;2.58;2.05;4.32;3.97
2014-2015;12;1;2;1;-1;0;0;6;1.95;-1;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;12;0;3;1;0;0;0;6;0;1;2.58;2.05;4.32;3.97;2.58;2.05;4.32;3.97
2014-2015;12;1;4;1;-1;0;0;6;0;-1;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;22.35;0;5;1;0;1;0;6;10.35;1;2.58;2.05;4.32;3.97;2.58;2.05;4.32;3.97
2014-2015;23.44;0;6;1;-1;0;0;6;1.09;-1;2.90;2.52;3.90;4.40;2.58;2.05;4.32;3.97
2014-2015;26.48;0;7;2;-2;1;0;6;3.04;-2;2.90;2.52;3.90;4.40;2.58;2.05;4.32;3.97
2014-2015;35.07;1;8;3;-3;0;0;6;8.59;-3;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;58.17;0;9;6;-2;0;0;6;23.1;1;2.58;2.05;4.32;3.97;2.58;2.05;4.32;3.97
2014-2015;7.13;0;1;1;0;0;0;6;;0;;;;;2.52;2.38;3.97;3.80
2014-2015;14.18;1;2;2;-1;0;0;6;7.05;-1;2.72;2.45;4.28;3.80;2.72;2.45;4.28;3.80
2014-2015;30.08;1;3;1;0;0;0;6;15.9;1;2.52;2.38;3.97;3.80;2.72;2.45;4.28;3.80
2014-2015;38.25;0;4;-2;1;0;0;6;8.17;2;2.52;2.38;3.97;3.80;2.52;2.38;3.97;3.80
2014-2015;42.27;0;5;-2;0;0;0;6;4.02;-1;2.72;2.45;4.28;3.80;2.52;2.38;3.97;3.80
2014-2015;59.23;1;6;-2;-1;0;0;6;16.96;-2;2.72;2.45;4.28;3.80;2.72;2.45;4.28;3.80
2014-2015;13.16;0;1;2;0;0;0;6;;0;;;;;2.77;2.48;3.73;4.48
2014-2015;14.08;1;2;2;-1;0;0;6;0.92;-1;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;19.34;1;3;2;0;0;0;6;5.26;1;2.77;2.48;3.73;4.48;2.50;2.68;4.30;4.47
2014-2015;28.08;0;4;2;1;0;0;6;8.74;2;2.77;2.48;3.73;4.48;2.77;2.48;3.73;4.48
2014-2015;34.03;0;5;2;0;0;0;6;5.95;-1;2.50;2.68;4.30;4.47;2.77;2.48;3.73;4.48
2014-2015;39.46;1;6;2;-1;0;0;6;5.43;-2;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;4.54;1;1;1;0;0;0;6;;0;;;;;2.78;2.10;3.58;3.73
2014-2015;16.54;0;2;1;1;0;0;6;12;1;2.52;2.43;4.45;4.43;2.52;2.43;4.45;4.43
2014-2015;20.27;1;3;2;0;1;0;6;3.73;-1;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;23.01;0;4;2;1;0;0;6;2.74;1;2.52;2.43;4.45;4.43;2.52;2.43;4.45;4.43
2014-2015;37.13;1;5;1;0;0;0;6;14.12;-1;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;48.56;0;6;1;1;0;0;6;11.43;1;2.52;2.43;4.45;4.43;2.52;2.43;4.45;4.43
2014-2015;13.58;0;1;0;0;0;0;6;;0;;;;;2.38;2.75;3.55;3.83
2014-2015;15.18;0;2;0;-1;0;0;6;1.6;-1;2.58;2.05;4.32;3.97;2.38;2.75;3.55;3.83
2014-2015;19;1;3;0;-2;0;0;6;3.82;-2;2.58;2.05;4.32;3.97;2.58;2.05;4.32;3.97
2014-2015;19.18;1;4;0;-1;0;0;6;0.18;1;2.38;2.75;3.55;3.83;2.58;2.05;4.32;3.97
2014-2015;37.13;0;5;-1;0;1;0;6;17.95;2;2.38;2.75;3.55;3.83;2.38;2.75;3.55;3.83
2014-2015;37.54;1;6;-1;-1;0;0;6;0.41;-1;2.58;2.05;4.32;3.97;2.58;2.05;4.32;3.97
2014-2015;50.32;0;7;-2;0;0;0;6;12.78;1;2.38;2.75;3.55;3.83;2.38;2.75;3.55;3.83
2014-2015;51.58;0;8;-2;-1;0;0;6;1.26;-1;2.58;2.05;4.32;3.97;2.38;2.75;3.55;3.83
2014-2015;3.46;1;1;1;0;0;0;6;;0;;;;;2.03;2.87;4.25;3.93
2014-2015;6.4;0;2;1;1;0;0;6;2.94;1;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;28.23;1;3;1;0;0;0;6;21.83;-1;2.03;2.87;4.25;3.93;2.03;2.87;4.25;3.93
2014-2015;33.26;0;4;1;1;0;0;6;5.03;1;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;55.57;0;5;0;0;0;0;6;22.31;-1;2.03;2.87;4.25;3.93;2.50;2.68;4.30;4.47
2014-2015;2.09;1;1;1;0;0;0;6;;0;;;;;2.52;2.38;3.97;3.80
2014-2015;16.17;0;2;1;1;0;0;6;14.08;1;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;16.24;0;3;1;0;0;0;6;0.07;-1;2.52;2.38;3.97;3.80;2.90;2.52;3.90;4.40
2014-2015;23.49;0;4;2;-1;0;0;6;7.25;-2;2.52;2.38;3.97;3.80;2.90;2.52;3.90;4.40
2014-2015;32.31;1;7;3;-2;0;0;6;8.82;-3;2.52;2.38;3.97;3.80;2.52;2.38;3.97;3.80
2014-2015;38.34;0;8;2;-1;0;0;6;6.03;1;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;49.27;1;9;3;-2;0;0;6;10.93;-1;2.52;2.38;3.97;3.80;2.52;2.38;3.97;3.80
2014-2015;57.58;0;10;3;-1;0;0;6;8.31;1;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;9.45;0;1;0;0;0;0;6;;0;;;;;2.23;1.92;3.72;3.73
2014-2015;12.12;1;2;0;-1;0;0;6;2.67;-1;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
2014-2015;22.45;0;3;0;0;0;0;6;10.33;1;2.23;1.92;3.72;3.73;2.23;1.92;3.72;3.73
2014-2015;33.18;1;4;0;-1;0;0;6;10.73;-1;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
2014-2015;35.54;0;7;0;0;0;0;6;2.36;1;2.23;1.92;3.72;3.73;2.23;1.92;3.72;3.73
2014-2015;43.38;1;8;1;-1;1;0;6;7.84;-1;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
2014-2015;55.29;1;9;0;0;0;0;6;11.91;1;2.23;1.92;3.72;3.73;2.08;2.77;4.08;4.23
2014-2015;21.42;0;1;-1;0;0;0;6;;0;;;;;2.72;2.45;4.28;3.80
2014-2015;23.23;1;2;0;-1;0;0;6;1.81;-1;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;24.29;0;3;0;0;0;0;6;1.06;1;2.72;2.45;4.28;3.80;2.72;2.45;4.28;3.80
2014-2015;38;0;4;-1;-1;0;0;6;13.71;-1;2.02;3.08;3.90;4.17;2.72;2.45;4.28;3.80
2014-2015;46.08;1;5;0;-2;0;0;6;8.08;-2;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;51.11;1;6;0;-1;0;0;6;5.03;1;2.72;2.45;4.28;3.80;2.02;3.08;3.90;4.17
2014-2015;52.35;0;7;0;0;0;0;6;1.24;2;2.72;2.45;4.28;3.80;2.72;2.45;4.28;3.80
2014-2015;2.56;0;1;0;0;0;0;6;;0;;;;;2.77;2.48;3.73;4.48
2014-2015;4.49;1;2;0;-1;0;0;6;1.93;-1;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;7.27;0;3;0;0;0;0;6;2.78;1;2.77;2.48;3.73;4.48;2.77;2.48;3.73;4.48
2014-2015;17.1;0;4;1;-1;0;0;6;9.83;-1;2.90;2.52;3.90;4.40;2.77;2.48;3.73;4.48
2014-2015;24.11;0;5;3;-2;1;0;6;7.01;-2;2.90;2.52;3.90;4.40;2.77;2.48;3.73;4.48
2014-2015;24.11;1;6;3;-3;0;0;6;0;-3;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;24.11;0;7;3;-2;0;0;6;0;1;2.77;2.48;3.73;4.48;2.77;2.48;3.73;4.48
2014-2015;32.51;0;8;3;-3;1;0;6;8.4;-1;2.90;2.52;3.90;4.40;2.77;2.48;3.73;4.48
2014-2015;34.06;1;9;4;-4;1;0;6;1.55;-2;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;39.32;1;10;4;-3;1;0;6;5.26;1;2.77;2.48;3.73;4.48;2.90;2.52;3.90;4.40
2014-2015;46.09;0;11;4;-2;0;0;6;6.77;2;2.77;2.48;3.73;4.48;2.77;2.48;3.73;4.48
2014-2015;47.13;0;12;4;-3;0;0;6;1.04;-1;2.90;2.52;3.90;4.40;2.77;2.48;3.73;4.48
2014-2015;54.4;1;13;4;-4;0;0;6;7.27;-2;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;59.44;0;14;5;-3;0;0;6;5.04;1;2.77;2.48;3.73;4.48;2.77;2.48;3.73;4.48
2014-2015;12.47;0;1;0;0;0;1;6;;0;;;;;2.78;2.10;3.58;3.73
2014-2015;16.28;1;2;1;-1;0;1;6;3.81;-1;2.38;2.75;3.55;3.83;2.38;2.75;3.55;3.83
2014-2015;31.41;0;3;-1;0;1;1;6;15.13;1;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;38.42;0;6;-1;-1;0;1;6;7.01;-1;2.38;2.75;3.55;3.83;2.78;2.10;3.58;3.73
2014-2015;11.02;0;1;0;0;0;0;6;;0;;;;;2.08;2.77;4.08;4.23
2014-2015;25.58;1;2;1;-1;0;0;6;14.56;-1;2.72;2.45;4.28;3.80;2.72;2.45;4.28;3.80
2014-2015;30.39;0;3;1;0;0;0;6;4.81;1;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
2014-2015;33.07;0;4;1;-1;0;0;6;2.68;-1;2.72;2.45;4.28;3.80;2.08;2.77;4.08;4.23
2014-2015;41.26;1;5;1;-2;0;0;6;8.19;-2;2.72;2.45;4.28;3.80;2.72;2.45;4.28;3.80
2014-2015;45.14;1;6;0;-1;1;0;6;3.88;1;2.08;2.77;4.08;4.23;2.72;2.45;4.28;3.80
2014-2015;58.11;1;7;0;0;1;0;6;12.97;2;2.08;2.77;4.08;4.23;2.72;2.45;4.28;3.80
2014-2015;62.05;1;8;0;1;0;0;6;3.94;3;2.08;2.77;4.08;4.23;2.72;2.45;4.28;3.80
2014-2015;0.42;1;1;0;0;0;0;6;;0;;;;;2.52;2.43;4.45;4.43
2014-2015;10.29;0;4;-2;1;0;0;6;9.87;1;2.58;2.05;4.32;3.97;2.58;2.05;4.32;3.97
2014-2015;12.46;1;5;-1;0;1;0;6;2.17;-1;2.52;2.43;4.45;4.43;2.52;2.43;4.45;4.43
2014-2015;19.31;1;6;-2;1;0;0;6;6.85;1;2.58;2.05;4.32;3.97;2.52;2.43;4.45;4.43
2014-2015;22.15;0;7;-2;2;0;0;6;2.84;2;2.58;2.05;4.32;3.97;2.58;2.05;4.32;3.97
2014-2015;25.31;0;8;-2;1;0;0;6;3.16;-1;2.52;2.43;4.45;4.43;2.58;2.05;4.32;3.97
2014-2015;30.09;0;9;-1;0;0;0;6;4.78;-2;2.52;2.43;4.45;4.43;2.58;2.05;4.32;3.97
2014-2015;33.19;1;10;-1;-1;0;0;6;3.1;-3;2.52;2.43;4.45;4.43;2.52;2.43;4.45;4.43
2014-2015;46.51;0;11;0;0;0;0;6;13.32;1;2.58;2.05;4.32;3.97;2.58;2.05;4.32;3.97
2014-2015;8.55;0;1;1;0;0;0;6;;0;;;;;2.03;2.87;4.25;3.93
2014-2015;14.2;1;2;2;-1;0;0;6;5.65;-1;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;17.02;0;3;2;0;0;0;6;2.82;1;2.03;2.87;4.25;3.93;2.03;2.87;4.25;3.93
2014-2015;23.33;0;4;2;-1;0;0;6;6.31;-1;2.02;3.08;3.90;4.17;2.03;2.87;4.25;3.93
2014-2015;30.38;1;5;4;-2;1;0;6;7.05;-2;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;39.25;1;6;3;-1;0;0;6;8.87;1;2.03;2.87;4.25;3.93;2.02;3.08;3.90;4.17
2014-2015;48.19;0;7;3;0;0;0;6;8.94;2;2.03;2.87;4.25;3.93;2.03;2.87;4.25;3.93
2014-2015;51.54;0;8;2;-1;0;0;6;3.35;-1;2.02;3.08;3.90;4.17;2.03;2.87;4.25;3.93
2014-2015;2.02;1;1;0;0;0;0;6;;0;;;;;2.95;2.50;4.23;3.28
2014-2015;7.17;0;2;1;1;0;0;6;5.15;1;2.52;2.38;3.97;3.80;2.52;2.38;3.97;3.80
2014-2015;12.56;0;3;1;0;0;0;6;5.39;-1;2.95;2.50;4.23;3.28;2.52;2.38;3.97;3.80
2014-2015;35.25;1;6;2;-1;0;0;6;22.69;-2;2.95;2.50;4.23;3.28;2.95;2.50;4.23;3.28
2014-2015;48.47;0;7;1;0;0;0;6;13.22;1;2.52;2.38;3.97;3.80;2.52;2.38;3.97;3.80
2014-2015;52.18;0;8;1;-1;0;0;6;3.71;-1;2.95;2.50;4.23;3.28;2.52;2.38;3.97;3.80
2014-2015;56.59;0;9;1;-2;0;0;6;4.41;-2;2.95;2.50;4.23;3.28;2.52;2.38;3.97;3.80
2014-2015;3.08;1;1;-1;0;0;0;6;;0;;;;;2.50;2.68;4.30;4.47
2014-2015;8.01;1;2;-2;1;0;0;6;4.93;1;2.95;2.50;4.23;3.28;2.50;2.68;4.30;4.47
2014-2015;9.13;0;3;-2;2;0;0;6;1.12;2;2.95;2.50;4.23;3.28;2.95;2.50;4.23;3.28
2014-2015;9.42;0;4;-2;1;0;0;6;0.29;-1;2.50;2.68;4.30;4.47;2.95;2.50;4.23;3.28
2014-2015;17.22;0;5;-2;0;0;0;6;7.8;-2;2.50;2.68;4.30;4.47;2.95;2.50;4.23;3.28
2014-2015;18.44;0;6;-2;-1;0;0;6;1.22;-3;2.50;2.68;4.30;4.47;2.95;2.50;4.23;3.28
2014-2015;24.53;1;7;-3;-2;0;0;6;6.09;-4;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;25.21;1;8;-3;-1;0;0;6;0.68;1;2.95;2.50;4.23;3.28;2.50;2.68;4.30;4.47
2014-2015;32.56;0;9;-6;0;1;0;6;7.35;2;2.95;2.50;4.23;3.28;2.95;2.50;4.23;3.28
2014-2015;43.54;0;10;-5;-1;0;0;6;10.98;-1;2.50;2.68;4.30;4.47;2.95;2.50;4.23;3.28
2014-2015;46.14;1;11;-5;-2;0;0;6;2.6;-2;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;54.12;0;12;-5;-1;0;0;6;7.98;1;2.95;2.50;4.23;3.28;2.95;2.50;4.23;3.28
2014-2015;0.53;0;1;0;0;0;0;6;;0;;;;;2.38;2.75;3.55;3.83
2014-2015;11.47;1;2;1;-1;0;0;6;10.94;-1;2.77;2.48;3.73;4.48;2.77;2.48;3.73;4.48
2014-2015;12.37;1;3;1;0;0;0;6;0.9;1;2.38;2.75;3.55;3.83;2.77;2.48;3.73;4.48
2014-2015;12.42;0;4;1;1;0;0;6;0.05;2;2.38;2.75;3.55;3.83;2.38;2.75;3.55;3.83
2014-2015;18.06;0;5;1;0;0;0;6;5.64;-1;2.77;2.48;3.73;4.48;2.38;2.75;3.55;3.83
2014-2015;26.09;0;6;2;-1;0;0;6;8.03;-2;2.77;2.48;3.73;4.48;2.38;2.75;3.55;3.83
2014-2015;44.31;1;7;1;-2;0;0;6;18.22;-3;2.77;2.48;3.73;4.48;2.77;2.48;3.73;4.48
2014-2015;48.46;0;8;0;-1;1;0;6;4.15;1;2.38;2.75;3.55;3.83;2.38;2.75;3.55;3.83
2014-2015;13.4;1;1;2;0;0;0;6;;0;;;;;2.08;2.77;4.08;4.23
2014-2015;21.47;1;2;1;1;0;0;6;8.07;1;2.90;2.52;3.90;4.40;2.08;2.77;4.08;4.23
2014-2015;23.45;0;3;1;2;0;0;6;1.98;2;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;33.11;0;4;1;1;0;0;6;9.66;-1;2.08;2.77;4.08;4.23;2.90;2.52;3.90;4.40
2014-2015;38.08;1;5;1;0;0;0;6;4.97;-2;2.08;2.77;4.08;4.23;2.08;2.77;4.08;4.23
2014-2015;40.48;1;6;1;1;0;0;6;2.4;1;2.90;2.52;3.90;4.40;2.08;2.77;4.08;4.23
2014-2015;52.51;0;7;2;2;0;0;6;12.03;2;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;4.13;1;1;0;0;0;0;6;;0;;;;;2.23;1.92;3.72;3.73
2014-2015;8.59;1;2;0;1;0;0;6;4.46;1;2.72;2.45;4.28;3.80;2.23;1.92;3.72;3.73
2014-2015;11.17;0;3;0;2;0;0;6;2.58;2;2.72;2.45;4.28;3.80;2.72;2.45;4.28;3.80
2014-2015;19.26;0;4;1;1;0;0;6;8.09;-1;2.23;1.92;3.72;3.73;2.72;2.45;4.28;3.80
2014-2015;22.03;1;5;1;0;0;0;6;2.77;-2;2.23;1.92;3.72;3.73;2.23;1.92;3.72;3.73
2014-2015;27.59;1;6;1;1;0;0;6;5.56;1;2.72;2.45;4.28;3.80;2.23;1.92;3.72;3.73
2014-2015;36.29;0;7;1;2;0;0;6;8.7;2;2.72;2.45;4.28;3.80;2.72;2.45;4.28;3.80
2014-2015;44.36;1;8;1;1;0;0;6;8.07;-1;2.23;1.92;3.72;3.73;2.23;1.92;3.72;3.73
2014-2015;46.16;0;9;1;2;0;0;6;1.8;1;2.72;2.45;4.28;3.80;2.72;2.45;4.28;3.80
2014-2015;53.08;0;10;2;1;1;0;6;6.92;-1;2.23;1.92;3.72;3.73;2.72;2.45;4.28;3.80
2014-2015;9.1;0;1;-1;0;0;0;6;;0;;;;;2.02;3.08;3.90;4.17
2014-2015;12.29;0;2;-1;-1;0;0;6;3.19;-1;2.52;2.43;4.45;4.43;2.02;3.08;3.90;4.17
