season;time;home;numpen;goaldiff;pendiff;ppgoal;capacity;month;timebetpens;inRow;gf1;ga1;pf1;pa1;gf2;ga2;pf2;pa2
2014-2015;12.4;1;2;0;-1;0;0;1;3;-1;2.58;2.05;4.32;3.97;2.58;2.05;4.32;3.97
2014-2015;17.09;1;3;0;0;0;0;1;4.69;1;2.50;2.68;4.30;4.47;2.58;2.05;4.32;3.97
2014-2015;29.31;0;4;0;1;0;0;1;12.22;2;2.50;2.68;4.30;4.47;2.50;2.68;4.30;4.47
2014-2015;39.55;0;5;-1;0;0;0;1;10.24;-1;2.58;2.05;4.32;3.97;2.50;2.68;4.30;4.47
2014-2015;49.14;0;6;-1;-1;0;0;1;9.59;-2;2.58;2.05;4.32;3.97;2.50;2.68;4.30;4.47
2014-2015;52.2;1;7;-1;-2;0;0;1;3.06;-3;2.58;2.05;4.32;3.97;2.58;2.05;4.32;3.97
2014-2015;1.26;0;1;0;0;0;0;1;;0;;;;;2.90;2.52;3.90;4.40
2014-2015;2.09;1;2;0;-1;0;0;1;0.83;-1;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;5.1;0;3;0;0;0;0;1;3.01;1;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;6.06;1;4;0;-1;0;0;1;0.96;-1;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;6.27;1;5;0;0;0;0;1;0.21;1;2.90;2.52;3.90;4.40;2.02;3.08;3.90;4.17
2014-2015;7.39;0;6;0;1;0;0;1;1.12;2;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;9.43;1;7;0;0;0;0;1;2.04;-1;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;13.25;0;8;0;1;0;0;1;3.82;1;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
2014-2015;14.29;1;9;0;0;0;0;1;1.04;-1;2.02;3.08;3.90;4.17;2.02;3.08;3.90;4.17
2014-2015;15.19;0;10;0;1;0;0;1;0.9;1;2.90;2.52;3.90;4.40;2.90;2.52;3.90;4.40
