id;season;year;date;homeTeam;awayTeam;name;time;type;home;numpen;goaldiff;pendiff;ppgoal;capacity;reason;month;inRow;timebetpens;referees;gf1;ga1;pf1;pa1;gf2;ga2;pf2;pa2
6131;2014-2015;2015;11.9.2014;HIFK;Blues;Valtteri Virkkunen;38.18;2;0;9;0;0;0;0;pään tai niskan alueelle kohdistuva taklaus;1;1;3.67;Stefan Fonselius-Aleksi Rantala;2.95;2.5;4.23;3.28;2.95;2.5;4.23;3.28
6131;2014-2015;2015;11.9.2014;HIFK;Blues;Kai Kantola;41.3;2;0;10;0;-1;0;0;ryntäys;1;-1;3.12;Stefan Fonselius-Aleksi Rantala;2.77;2.48;3.73;4.48;2.95;2.5;4.23;3.28
6131;2014-2015;2015;11.9.2014;HIFK;Blues;Stefano Giliati;42.2;2;0;11;1;-2;1;0;poikittainen maila;1;-2;0.9;Stefan Fonselius-Aleksi Rantala;2.77;2.48;3.73;4.48;2.95;2.5;4.23;3.28
6131;2014-2015;2015;11.9.2014;HIFK;Blues;Micke-Max Åsten;50.02;2;1;12;1;-3;0;0;kampitus;1;-3;7.82;Stefan Fonselius-Aleksi Rantala;2.77;2.48;3.73;4.48;2.77;2.48;3.73;4.48
6131;2014-2015;2015;11.9.2014;HIFK;Blues;Jussi Makkonen;50.4;2;0;13;1;-2;0;0;koukkaaminen;1;1;0.38;Stefan Fonselius-Aleksi Rantala;2.95;2.5;4.23;3.28;2.95;2.5;4.23;3.28
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Ville Uusitalo;2.18;2;0;1;0;0;0;1;koukkaaminen;1;0;;Mikko Kaukokari-Petri Lindqvist;;;;;2.72;2.45;4.28;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Teemu Nurmi;5.45;2;1;2;0;-1;0;1;kiinnipitäminen;1;-1;3.27;Mikko Kaukokari-Petri Lindqvist;2.52;2.38;3.97;3.8;2.52;2.38;3.97;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Jonne Virtanen;9.37;2;1;3;0;0;0;1;koukkaaminen;1;1;3.92;Mikko Kaukokari-Petri Lindqvist;2.72;2.45;4.28;3.8;2.52;2.38;3.97;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Jake Hansen;10.09;2;0;4;0;1;0;1;estäminen;1;2;0.72;Mikko Kaukokari-Petri Lindqvist;2.72;2.45;4.28;3.8;2.72;2.45;4.28;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Mikko Kousa;11.35;2;1;5;0;0;0;1;huitominen;1;-1;1.26;Mikko Kaukokari-Petri Lindqvist;2.52;2.38;3.97;3.8;2.52;2.38;3.97;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Aleksi Saarela;12.33;2;0;6;0;1;0;1;koukkaaminen;1;1;0.98;Mikko Kaukokari-Petri Lindqvist;2.72;2.45;4.28;3.8;2.72;2.45;4.28;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Ville Uusitalo;12.49;2;0;7;0;0;0;1;estäminen;1;-1;0.16;Mikko Kaukokari-Petri Lindqvist;2.52;2.38;3.97;3.8;2.72;2.45;4.28;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Garrett Stafford;14.43;2;0;8;0;-1;0;1;pelin viivyttäminen - kiekko katsomoon;1;-2;1.94;Mikko Kaukokari-Petri Lindqvist;2.52;2.38;3.97;3.8;2.72;2.45;4.28;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Tapio Sammalkangas;15.53;2;0;9;0;-2;0;1;huitominen;1;-3;1.1;Mikko Kaukokari-Petri Lindqvist;2.52;2.38;3.97;3.8;2.72;2.45;4.28;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Antti Jaatinen;19.02;2;1;10;0;-3;0;1;huitominen;1;-4;3.49;Mikko Kaukokari-Petri Lindqvist;2.52;2.38;3.97;3.8;2.52;2.38;3.97;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Jyri Marttinen;21.46;2;0;11;0;-2;0;1;estäminen;1;1;2.44;Mikko Kaukokari-Petri Lindqvist;2.72;2.45;4.28;3.8;2.72;2.45;4.28;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Eero Elo;24.41;2;0;12;1;-3;1;1;selästä taklaaminen;1;-1;2.95;Mikko Kaukokari-Petri Lindqvist;2.52;2.38;3.97;3.8;2.72;2.45;4.28;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Filip Riska;28.33;2;1;13;1;-4;0;1;huitominen;1;-2;3.92;Mikko Kaukokari-Petri Lindqvist;2.52;2.38;3.97;3.8;2.52;2.38;3.97;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Harri Tikkanen;37.54;2;1;14;0;-3;0;1;estäminen;1;1;9.21;Mikko Kaukokari-Petri Lindqvist;2.72;2.45;4.28;3.8;2.52;2.38;3.97;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Jonne Virtanen;45.19;2;1;15;0;-2;0;1;kampitus;1;2;7.65;Mikko Kaukokari-Petri Lindqvist;2.72;2.45;4.28;3.8;2.52;2.38;3.97;3.8
6132;2014-2015;2015;11.9.2014;Lukko;Ässät;Jake Hansen;46.17;2;0;16;-1;-1;1;1;kiinnipitäminen;1;3;0.98;Mikko Kaukokari-Petri Lindqvist;2.72;2.45;4.28;3.8;2.72;2.45;4.28;3.8
